Onboarding (macro-settore),ATECO Macro (primaria),ATECO Macro (primaria) - descrizione,ATECO Macro (secondaria),ATECO Macro (secondaria) - descrizione,ATECO 2-digit suggeriti,Damodaran industry 1,Damodaran industry 2,Damodaran industry 3,Peso 1,Peso 2,Peso 3,Note / regole di disambiguazione
Software / SaaS / IT (prodotti digitali),K,ICT,,,"61, 62, 63",Software (System & Application),Software (Internet),Information Services,70,20,10,"Se marketplace/abbonamenti web-first, aumenta peso su Software (Internet)."
IT Services / Consulenza informatica / System integrator,K,ICT,,,"62, 63, 61",Computer Services,Information Services,Telecom. Services,70,20,10,Per MSP/outsourcing IT: Computer Services è spesso il comparabile più diretto.
E-commerce / Retail / Marketplace,G,Commercio,,,"47, 46",Retail (General),Retail (Special Lines),Retail (Distributors),60,25,15,Se food/grocery: usa Retail (Grocery and Food) come alternativa.
FinTech / Servizi finanziari / Pagamenti / InsurTech,K,ICT,,,"61, 62, 63",Financial Svcs. (Non-bank & Insurance),Investments & Asset Management,Brokerage & Investment Banking,60,25,15,"Se è fintech SOFTWARE puro, valuta anche Software (System & Application) come comparabile."
Salute / MedTech / Pharma / Wellness,R,Sanità,C,Manifattura,"86, 87, 88 (R) + 21 (C)",Healthcare Products,Heathcare Information and Technology,Drugs (Pharmaceutical),55,30,15,Se cliniche/strutture: considera Hospitals/Healthcare Facilities; se biotech: Drugs (Biotechnology).
Education / Formazione / HR Tech,O,Supporto,K,ICT,"78, 82 (O) + 62 (K)",Education,Business & Consumer Services,Computer Services,60,25,15,Se HR software: aumenta peso su Computer Services / Software.
Media / Publishing / Advertising / Creator economy,K,ICT,C,Manifattura,"63, 62 (K) + 18 (C)",Advertising,Publishing & Newspapers,Entertainment,50,25,25,Se broadcaster: usa Broadcasting; se media digitale: Advertising + Entertainment.
Turismo / Hospitality / Food service (alloggio e ristorazione),I,Alloggio/Ristorazione,O,Supporto,"55, 56 (I) + 79 (O)",Hotel/Gaming,Restaurant/Dining,Recreation,45,35,20,Per tour operator/booking: aumenta peso su Business & Consumer Services o Travel-related (79).
Trasporti / Logistica / Mobility,H,Trasporti,,,"49, 50, 51, 52, 53",Transportation,Trucking,Air Transport,55,25,20,Se ferroviario: Transportation (Railroads); se mare: Shipbuilding & Marine.
Manifattura / Industria / Meccanica,C,Manifattura,,,"24, 25, 28, 33, 27, 26",Machinery,Electrical Equipment,Metals & Mining,50,30,20,Se elettronica: Electronics (General); se acciaio: Steel.
Agroalimentare / Agricoltura / Food production,C,Manifattura,A,Agricoltura,"10, 11, 12 (C) + 01, 02, 03 (A)",Food Processing,Farming/Agriculture,Beverage (Soft),55,25,20,Per alcolici: Beverage (Alcoholic); per wholesaler: Food Wholesalers.
Energia / Utilities / Cleantech,C,Manifattura,,,19 (C) + (nota: utility non inclusa nella macro ATECO ridotta),Green & Renewable Energy,Power,Utility (General),50,25,25,Se oil&gas: usa Oil/Gas (Production and Exploration) / (Integrated).
Costruzioni / Real estate,F,Costruzioni,M,Immobili,"41, 42, 43 (F) + 68 (M)",Engineering/Construction,Real Estate (General/Diversified),Homebuilding,45,35,20,Se immobiliare puro: aumenta peso su Real Estate e/o R.E.I.T. a seconda del modello.
"Servizi professionali (studi, advisory, legale, contabile)",O,Supporto,K,ICT,82 (O) + 62 (K),Business & Consumer Services,Office Equipment & Services,Information Services,60,25,15,Advisory/consulenza: spesso Business & Consumer Services è il comparabile più coerente.
"Servizi alle imprese (facility, outsourcing, ecc.)",O,Supporto,,,"77, 78, 79, 80, 81, 82",Business & Consumer Services,Environmental & Waste Services,Office Equipment & Services,60,25,15,Se facility/cleaning: aumenta Environmental & Waste Services.
Altro (con descrizione),,,,,,,,,,,,Obbliga una descrizione e (opzionale) ATECO per migliorare la mappatura.
